8,14,9,1,13,6,5,8,18
7,12,1,0,4,14,3,6,21
8,14,6,1,10,15,4,7,21
9,15,7,1,10,15,4,7,22
9,12,13,1,14,18,7,10,17
10,18,25,9,25,11,5,10,28
9,12,1,0,3,18,4,7,25
7,11,1,0,1,11,3,6,22
9,16,1,-1,0,15,6,9,14
9,12,11,1,10,13,6,9,14
12,18,13,1,18,21,6,10,30
5,10,0,-1,0,9,4,6,7
9,21,28,15,31,14,6,9,23
10,14,6,1,11,20,4,8,28
10,14,16,1,16,18,7,11,18
7,9,6,0,8,15,6,8,14
9,15,9,1,12,7,5,8,20
7,15,11,1,18,12,4,6,19
7,19,3,-1,6,6,8,8,1
10,15,18,2,16,18,8,12,19
11,19,26,5,20,11,6,12,29
12,18,13,2,19,21,6,10,30
6,12,1,0,4,11,3,6,18
7,8,4,0,7,15,6,8,14
9,13,0,-1,0,14,6,10,13
4,9,0,-1,-1,3,5,6,1
7,14,9,1,16,11,4,5,18
8,10,0,0,2,17,3,7,25
7,13,2,0,7,5,5,7,12
8,12,1,0,2,10,4,6,22
7,17,0,-1,0,7,7,9,7
6,15,1,0,1,10,6,7,7
10,14,5,1,8,20,5,8,28
9,15,6,1,10,16,4,7,21
11,17,11,1,18,21,6,10,29
10,13,5,1,9,19,4,8,28
9,12,11,1,10,13,6,9,14
9,12,3,1,6,19,4,8,27
9,13,17,1,13,14,6,9,14
7,10,7,0,8,15,6,8,14
11,17,10,1,15,16,5,8,27
6,12,1,1,8,11,3,5,18
9,15,10,1,12,7,5,8,21
8,14,7,1,11,6,4,7,18
7,8,4,0,7,15,6,8,14
8,13,4,1,6,15,4,6,21
6,13,0,-1,0,12,4,7,14
9,19,17,1,19,12,6,8,21
10,18,16,2,20,9,6,9,19
8,14,6,0,11,4,5,7,14
7,12,6,1,13,9,4,6,18
7,13,4,1,11,13,4,6,18
8,12,11,1,10,15,7,9,14
11,19,18,5,23,10,7,9,18
9,16,11,1,17,9,6,8,19
8,14,5,0,9,6,5,7,14
9,18,26,8,24,10,5,10,27
8,14,7,1,13,6,5,8,19
9,17,23,6,23,10,5,10,27
11,20,9,0,9,17,8,11,17
8,16,12,1,18,15,4,7,24
10,17,14,1,19,9,6,9,19
7,16,13,1,19,12,5,6,19
9,14,7,1,15,5,5,8,18
5,11,0,-1,-1,4,5,7,1
9,15,2,0,0,16,5,9,17
7,9,6,0,7,15,6,8,14
7,14,5,1,12,15,4,6,18
8,12,7,1,11,8,4,7,20
11,18,5,0,1,16,7,11,16
9,14,7,1,12,9,5,8,18
9,13,14,1,12,17,8,11,18
11,19,6,0,4,16,8,11,17
6,15,0,-1,1,6,6,7,3
6,18,1,-1,2,5,7,8,0
7,12,0,0,1,10,4,6,21
7,9,6,0,8,15,6,8,14
7,9,5,0,8,15,6,8,14
9,18,23,1,17,10,5,10,27
9,15,9,1,15,8,6,8,17
11,20,20,4,22,9,7,10,19
8,16,11,1,17,14,4,6,21
8,12,6,1,13,9,4,7,18
8,11,10,1,10,16,7,9,15
9,14,2,0,2,10,5,7,22
8,14,2,1,9,11,4,6,19
8,15,8,0,11,4,5,7,14
10,17,15,2,20,10,6,9,19
9,13,16,1,16,17,7,11,17
10,17,16,3,22,11,7,9,19
9,18,24,2,18,10,6,10,26
9,12,4,1,7,20,4,8,28
11,17,9,1,14,16,5,8,27
9,15,2,0,3,11,5,8,24
8,12,2,0,9,5,4,7,16
6,13,7,1,15,11,4,5,18
8,14,5,1,9,16,4,7,21
9,14,7,1,13,7,5,8,18
5,15,0,-1,1,6,6,7,0
8,16,12,1,18,15,4,6,22
7,16,1,0,2,9,6,9,9
10,18,4,0,2,15,7,11,15
9,18,25,5,20,10,6,10,27
7,16,1,-1,1,9,6,9,10
10,17,13,1,18,9,6,9,19
11,18,16,3,22,10,6,10,20
10,16,4,0,1,16,6,10,17
9,14,8,1,11,10,5,9,21
7,17,1,-1,1,9,7,8,9
8,19,20,2,23,11,5,7,20
10,21,24,10,28,15,7,9,24
8,17,2,0,2,10,7,9,11
7,11,5,1,9,8,3,7,20
7,12,7,1,13,9,4,7,18
9,19,19,3,24,13,6,9,24
11,18,4,-1,2,14,8,11,14
7,15,11,1,17,11,4,6,18
8,13,7,1,11,6,4,7,18
10,16,14,2,20,11,6,9,19
10,16,8,1,11,15,5,7,26
7,14,1,0,5,9,4,6,16
10,16,13,1,18,9,6,8,19
10,14,6,1,9,20,4,8,29
7,17,1,-1,1,9,7,9,8
8,17,1,-1,1,9,7,9,9
9,17,22,1,17,10,5,10,28
9,16,12,1,14,8,5,9,22
9,16,13,1,20,10,6,8,19
10,18,23,2,17,10,6,10,28
6,11,0,-1,0,10,4,7,10
7,9,5,0,7,16,6,8,14
8,18,17,1,19,10,5,6,17
8,15,10,1,12,4,5,7,14
11,17,10,1,15,16,6,8,27
9,13,16,1,16,17,7,11,17
9,13,5,1,8,20,4,8,28
10,17,14,1,18,9,6,9,19
9,18,4,0,6,13,7,10,13
7,18,1,-1,3,6,7,8,1
7,17,0,-1,0,8,7,9,9
10,19,24,5,22,11,6,11,29
8,18,17,1,20,12,5,7,21
10,17,16,3,22,11,6,9,19
8,13,5,0,9,5,5,7,15
9,15,11,1,16,9,5,7,18
9,13,7,1,11,9,5,8,19
9,16,14,1,18,10,5,9,22
10,19,19,2,21,8,6,9,19
9,17,10,1,17,13,5,8,24
6,8,4,0,7,15,6,8,14
7,15,11,1,18,11,4,6,19
5,10,0,-1,0,5,5,7,2
10,18,18,5,23,11,7,9,19
9,14,17,1,16,18,7,11,18
5,11,0,-1,0,9,5,7,7
8,17,12,1,17,12,5,6,17
9,20,23,8,27,14,6,8,23
7,9,6,0,7,15,6,8,14
11,19,20,3,22,8,7,10,18
7,13,3,0,9,4,5,7,14
10,14,17,2,17,18,7,11,18
10,16,11,1,15,11,6,10,23
7,9,6,0,8,15,6,8,14
9,15,11,1,13,7,4,8,22
7,11,9,1,9,15,6,9,14
7,10,0,-1,0,12,5,7,10
7,16,12,1,18,12,5,6,20
11,20,28,7,21,11,6,11,29
6,15,3,0,6,11,5,7,11
10,17,21,3,20,11,5,10,29
8,12,13,1,11,16,7,9,15
9,13,12,1,10,13,7,10,16
10,17,15,3,22,10,6,9,19
7,11,5,1,10,8,3,7,20
10,17,4,0,3,15,7,10,15
9,14,8,1,10,10,5,9,21
8,12,14,1,12,16,7,9,15
10,17,22,4,21,11,5,10,29
7,18,1,-1,1,6,7,8,1
9,13,8,1,13,9,5,8,20
10,14,6,1,11,20,4,8,28
8,12,5,1,11,7,4,7,17
7,8,3,0,6,16,5,9,16
8,18,19,2,22,13,5,7,20
8,11,1,0,2,10,4,6,22
6,15,0,-1,0,5,7,8,3
10,16,11,1,15,10,6,9,21
6,10,0,0,3,10,3,5,16
8,13,9,1,14,9,4,8,20
9,22,27,14,30,14,6,9,23
7,11,1,0,1,13,3,6,24
8,15,9,1,14,5,5,7,15
7,16,0,-1,0,5,7,9,1
9,14,7,1,12,9,5,8,19
4,8,0,-1,-1,3,5,6,1
9,16,14,1,17,11,5,9,23
11,20,6,0,6,14,8,11,14
10,17,1,-1,0,14,7,10,14
11,19,19,4,22,9,6,10,20
9,14,8,1,13,9,6,9,18
8,13,3,0,7,5,5,7,14
9,17,22,2,19,11,5,10,27
10,17,2,-1,0,14,7,11,14
11,19,17,3,22,10,7,10,20
7,10,1,0,1,10,3,5,21
7,10,7,0,9,15,6,8,14
9,13,4,1,7,20,4,8,28
8,11,8,0,9,16,7,9,15
6,14,0,-1,0,4,6,8,3
10,15,10,1,13,10,6,10,22
11,19,20,3,22,8,7,10,18
9,19,18,2,23,12,6,9,24
10,16,12,1,17,10,6,8,19
13,24,13,0,13,16,10,13,16
11,20,6,0,7,14,8,11,14
7,13,4,1,12,12,4,6,18
6,15,3,0,5,11,5,7,13
9,13,13,1,12,17,7,11,17
7,12,1,1,8,11,4,5,17
11,17,9,1,14,16,6,8,27
10,16,14,2,20,11,6,9,19
8,17,1,-1,1,9,7,9,8
9,17,20,2,18,10,5,10,27
9,13,5,1,8,20,4,8,28
9,12,2,1,4,18,4,8,27
5,10,0,-1,0,9,4,6,8
9,18,1,-1,1,9,7,10,12
6,14,9,1,16,11,4,5,18
8,15,9,0,11,3,5,7,14
8,15,10,1,16,14,4,6,20
8,14,5,0,9,6,5,7,13
7,11,9,1,9,16,6,9,14
8,18,17,1,19,10,5,6,17
6,11,0,0,4,10,3,5,16
11,15,8,1,13,20,5,9,28
6,12,0,-1,0,12,4,7,13
8,11,9,1,9,16,7,9,14
11,15,8,1,13,20,5,9,28
6,15,0,-1,0,5,6,8,3
8,16,20,1,18,10,5,9,26
10,14,6,1,10,20,4,8,29
8,11,1,0,2,18,4,7,25
9,14,7,1,14,7,5,8,19
9,12,1,1,3,18,4,7,26
8,10,0,0,2,17,3,7,25
7,10,0,0,0,11,3,6,19
7,9,5,0,7,16,6,8,14
11,19,20,3,22,9,7,10,18
8,13,5,0,11,6,5,7,17
11,19,19,4,23,9,7,10,20
8,12,5,0,9,9,4,8,21
7,9,4,0,7,15,6,8,14
7,14,7,1,11,4,5,7,15
7,17,17,1,18,10,4,5,19
7,13,5,0,11,4,5,7,15
8,12,4,0,8,8,4,8,19
7,17,1,-1,1,7,7,9,8
12,17,13,1,19,21,6,10,30
8,10,1,0,1,18,3,7,25
8,18,3,0,5,9,7,9,12
9,12,12,1,10,13,6,9,14
9,15,11,1,17,9,5,8,19
10,16,14,2,21,10,6,8,19
8,15,6,1,10,15,4,7,21
7,14,0,-1,0,8,7,8,5
6,16,0,-1,0,9,7,8,0
9,15,10,1,16,6,5,8,18
7,17,1,-1,1,9,7,9,9
8,11,10,1,10,15,7,9,14
8,17,0,-1,0,8,7,10,10
7,15,0,-1,0,8,7,8,4
10,15,10,1,12,11,5,9,23
10,22,26,11,29,15,7,9,24
10,16,12,1,17,9,6,8,19
9,21,25,11,29,14,6,9,24
9,12,11,0,9,13,6,9,14
8,15,6,1,13,10,4,6,18
7,12,2,1,10,12,4,6,17
12,22,23,2,22,16,6,10,25
10,14,17,1,13,18,8,11,18
7,12,4,0,10,5,4,6,14
10,16,7,1,11,15,5,8,27
8,18,5,0,4,12,7,9,14
9,14,8,1,11,10,5,9,22
8,14,1,0,2,9,5,6,20
10,22,27,14,31,15,7,9,24
7,16,1,0,2,9,6,8,12
9,16,10,1,16,7,5,9,20
10,15,8,1,13,20,5,9,28
9,15,11,1,14,8,4,8,22
11,16,10,1,14,21,5,10,30
10,17,14,1,17,7,6,9,19
7,15,10,1,17,11,4,6,19
7,12,0,-1,0,12,5,8,10
9,17,20,2,20,10,5,9,27
10,14,19,2,18,18,8,11,19
9,14,17,1,16,18,7,11,18
8,18,19,2,22,13,5,7,21
9,16,1,-1,0,15,6,9,15
10,21,25,11,29,15,7,9,24
7,13,4,0,10,4,5,7,14
6,13,1,0,5,9,3,6,16
11,19,7,0,7,14,8,11,14
10,16,13,1,19,9,6,9,19
11,20,9,0,9,17,8,11,17
8,12,12,1,11,16,7,9,15
10,16,13,2,20,10,6,8,19
8,11,1,0,1,18,4,7,25
6,15,0,-1,1,5,6,7,-1
8,16,1,-1,0,11,7,9,11
10,17,14,1,19,9,6,9,19
10,16,6,1,10,15,5,7,26
10,16,7,1,11,15,5,7,26
7,12,0,-1,0,12,5,8,10
11,16,20,2,18,18,8,12,20
11,19,18,3,22,10,7,10,19
8,14,4,1,12,12,4,6,18
8,11,1,1,3,19,3,7,27
7,13,1,0,6,10,4,6,17
10,18,24,5,22,10,6,11,29
8,12,11,1,11,14,7,9,14
5,11,0,-1,0,9,4,7,11
9,12,2,1,5,19,4,8,27
11,18,8,1,13,12,6,9,25
8,13,6,1,14,5,5,7,16
10,17,4,0,3,15,7,10,15
11,20,9,0,9,17,8,11,17
12,18,12,1,17,21,6,10,30
7,14,0,-1,0,9,6,8,5
9,17,16,2,20,10,6,10,22
8,13,1,0,2,10,4,7,21
10,18,16,2,20,16,5,8,25
9,16,18,1,18,10,5,9,27
10,14,18,2,17,18,8,11,18
6,13,1,0,4,9,3,6,16
8,17,13,1,17,12,5,6,18
10,19,26,11,25,11,6,11,28
5,12,1,0,2,9,4,6,14
8,12,6,0,9,9,4,8,21
9,14,7,1,13,7,5,8,18
8,12,1,0,2,11,4,7,23
11,18,18,3,22,10,7,10,19
10,18,18,5,24,11,7,9,19
7,10,8,0,8,15,6,8,14
11,20,5,0,5,14,8,12,14
9,13,4,1,7,20,4,8,28
9,17,23,5,21,10,5,10,27
10,14,6,1,9,20,4,8,29
5,10,0,-1,0,9,4,6,8
11,18,17,4,23,11,7,10,19
7,8,5,0,7,15,6,8,13
8,18,17,1,21,11,5,7,21
8,17,2,0,3,10,7,9,11
6,12,1,0,5,11,3,6,19
10,15,8,1,13,20,5,9,28
8,15,10,1,12,4,5,7,14
11,17,9,1,14,16,6,8,27
10,14,6,1,11,20,4,8,29
6,15,0,-1,1,7,6,7,4
10,16,13,1,19,10,6,8,19
10,14,5,1,9,20,5,8,28
7,9,7,1,8,15,6,8,14
8,12,10,1,10,14,7,9,14
6,11,0,-1,0,10,4,7,11
10,14,6,1,9,20,4,8,29
10,18,25,9,25,11,5,10,28
8,12,10,1,10,16,7,10,17
10,18,16,3,21,11,7,9,19
8,19,1,-1,1,7,7,10,8
9,12,2,1,6,19,4,8,27
8,17,4,0,4,13,6,9,15
10,16,7,1,11,15,5,8,26
11,23,12,0,13,11,9,12,15
8,16,12,1,18,14,4,7,24
10,18,24,5,22,10,6,11,29
9,21,24,10,27,14,6,9,23
8,11,1,0,1,10,4,6,21
7,10,1,0,1,10,3,5,21
9,14,17,2,17,17,8,11,17
10,17,12,1,16,9,6,9,19
9,13,13,1,12,17,7,11,17
10,18,23,2,17,10,6,11,28
9,12,1,1,3,19,4,8,27
6,15,0,-1,0,5,7,8,3
10,17,1,-1,0,14,7,11,13
7,15,10,1,16,11,4,5,18
12,17,10,1,14,21,6,10,30
9,14,7,1,13,7,5,8,19
10,19,20,4,23,9,7,9,19
10,21,24,9,27,15,7,9,24
7,16,0,-1,0,5,7,9,2
11,18,17,4,23,11,7,10,19
10,16,4,0,1,16,6,10,17
9,13,4,1,7,19,4,8,27
7,14,4,1,12,12,4,6,18
11,15,9,1,15,21,5,9,29
8,13,1,0,2,9,4,6,21
9,17,23,5,21,10,5,10,27
10,19,19,2,21,8,7,9,18
8,14,8,1,10,6,5,8,19
8,12,12,1,11,14,7,9,14
10,18,24,2,19,10,6,10,27
7,14,6,0,11,4,5,7,15
7,14,12,1,17,8,4,6,15
8,11,7,0,8,16,6,10,16
9,20,21,1,19,11,6,8,21
7,13,1,1,8,11,4,6,18
11,17,9,1,14,16,5,8,27
8,10,6,0,8,15,7,10,15
10,22,27,14,31,15,7,10,24
8,12,10,1,10,14,6,9,14
10,19,20,2,21,8,7,10,18
10,21,23,8,27,15,6,9,24
9,20,22,1,20,11,6,8,21
10,19,19,2,21,9,7,10,18
10,18,24,9,25,11,5,10,28
3,8,0,-1,0,7,2,6,2
9,12,13,1,10,13,6,9,14
10,17,17,3,22,11,6,9,19
10,19,28,10,24,10,6,11,28
12,18,12,1,17,21,6,10,30
8,14,8,0,9,5,5,8,17
5,7,0,0,0,7,2,5,14
10,16,3,0,1,16,6,10,16
4,9,0,-1,0,5,4,6,0
9,12,2,1,5,19,4,7,27
8,18,1,-1,1,9,7,10,12
9,19,20,2,22,11,5,7,20
5,14,0,-1,1,6,6,7,1
10,14,17,1,17,18,8,11,18
9,18,25,6,21,10,5,10,27
8,16,13,1,18,15,4,7,24
10,16,8,1,11,15,5,7,26
10,16,9,1,12,16,5,8,28
12,20,7,0,5,16,9,12,16
9,12,1,1,5,18,4,8,26
6,15,1,-1,1,7,6,7,3
8,12,7,1,11,8,4,7,20
5,7,0,0,0,7,2,5,14
7,17,18,1,19,10,4,5,18
9,17,16,2,20,10,5,9,22
9,16,13,1,16,7,5,9,20
7,13,3,0,9,4,5,7,14
10,17,16,3,22,11,6,8,19
6,14,8,1,15,10,4,5,18
9,19,19,3,23,13,6,9,25
8,15,9,1,13,7,5,8,19
8,15,9,1,12,4,5,7,14
7,14,0,-1,0,7,6,8,4
11,20,6,0,6,14,8,11,14
7,9,6,0,7,15,6,8,14
12,17,10,1,14,21,6,10,30
8,14,7,0,12,4,5,7,14
12,18,13,1,19,21,6,10,30
6,12,1,1,8,11,3,5,16
10,19,25,4,20,10,6,10,27
8,15,7,0,10,6,5,8,17
8,15,8,0,11,4,5,7,14
10,16,8,1,12,16,5,7,27
9,13,15,1,15,18,7,11,18
9,15,10,1,13,7,5,8,19
11,19,18,4,22,10,7,10,19
8,13,10,1,15,9,5,7,18
10,16,4,0,1,16,6,10,17
8,14,7,0,12,4,5,7,15
9,20,21,1,19,11,6,8,21
8,12,1,0,2,11,4,7,23
9,13,7,1,13,9,5,8,19
9,14,8,1,13,9,5,8,18
8,13,6,1,13,7,5,8,19
8,13,4,0,10,6,5,7,16
10,17,14,1,17,7,6,9,19
8,18,19,2,22,10,5,7,20
8,15,8,0,11,4,5,7,14
10,14,18,2,17,18,8,11,18
9,17,21,1,16,10,5,10,26
8,9,6,1,8,16,6,9,16
11,22,11,0,10,11,9,12,15
7,16,0,-1,0,5,7,9,3
8,19,1,-1,1,7,8,10,7
10,17,13,1,18,9,6,9,19
8,18,18,2,22,13,5,7,21
7,17,15,1,20,11,5,6,19
6,15,0,-1,0,5,7,8,4
8,11,7,0,8,16,7,9,15
8,13,1,0,4,13,4,6,19
9,17,15,2,19,10,5,9,22
8,14,6,0,11,4,5,7,15
5,11,0,-1,0,11,4,6,11
8,14,8,1,12,6,4,7,19
9,13,13,1,11,14,7,10,15
10,17,13,1,19,9,6,9,19
7,11,5,1,9,8,3,7,20
7,15,11,1,18,11,4,6,19
9,18,17,2,22,12,5,8,24
5,13,0,-1,0,4,6,7,2
7,13,4,0,9,5,5,7,15
7,12,7,1,13,9,4,7,18
9,18,26,10,25,10,5,10,28
8,16,22,3,20,10,5,9,27
8,19,20,2,23,10,5,7,20
10,16,14,2,21,10,6,8,19
10,18,25,8,24,11,6,10,28
8,17,16,1,20,11,5,6,19
9,21,3,-1,2,9,8,10,9
6,15,0,-1,0,5,7,8,4
6,11,0,0,3,10,3,5,16
9,19,19,3,24,13,6,9,24
5,11,0,-1,0,10,4,6,12
8,12,13,1,10,13,6,8,13
9,15,7,1,11,15,4,7,22
8,13,7,1,11,6,4,7,18
5,10,0,-1,0,9,4,6,9
11,23,28,15,31,15,7,10,24
7,16,2,0,3,10,6,8,12
10,16,9,1,13,15,5,8,27
11,18,16,3,22,10,6,10,20
6,16,1,0,4,9,6,7,6
9,12,11,1,10,13,6,9,14
8,16,20,3,20,11,5,9,27
8,14,7,1,14,5,5,7,16
10,17,1,-1,0,14,7,11,13
11,21,27,8,22,11,6,11,29
9,16,12,1,14,8,5,9,23
10,14,6,1,9,20,4,8,29
7,15,11,1,18,11,4,6,18
9,16,13,2,20,10,6,8,19
5,10,0,-1,0,5,5,7,2
10,17,15,1,19,9,6,9,19
8,17,1,-1,0,10,7,10,9
5,10,0,0,2,10,3,5,17
5,11,0,-1,0,9,4,7,11
11,15,7,1,12,20,5,9,28
8,13,7,1,13,7,5,8,19
8,13,5,0,11,6,5,8,17
8,18,18,1,20,10,5,6,18
11,17,4,0,1,16,7,11,16
5,10,0,-1,-1,4,5,7,1
8,11,0,0,1,18,4,7,25
10,18,4,0,2,14,8,11,14
10,17,6,1,12,12,5,8,25
10,21,24,9,28,15,7,9,24
11,20,29,8,21,11,6,11,28
11,20,28,8,22,11,6,11,28
9,21,25,12,29,14,6,9,23
11,19,20,3,22,9,7,10,18
8,16,11,1,17,14,4,6,21
5,10,0,-1,0,10,4,6,9
7,12,3,0,9,5,5,7,15
9,13,4,1,7,20,4,8,28
9,12,2,1,7,18,4,8,27
8,14,5,0,11,4,5,7,15
9,15,1,-1,0,14,6,9,14
10,19,19,2,20,8,6,9,20
9,20,24,10,28,14,6,8,23
6,15,0,-1,1,6,7,7,1
8,13,3,1,4,15,3,6,20
9,16,18,1,18,10,5,9,27
7,12,6,1,13,9,4,6,18
7,12,1,0,2,12,3,6,19
7,8,4,0,7,16,5,9,16
9,21,27,13,30,14,6,9,23
9,12,14,1,15,17,7,10,17
7,13,3,1,11,12,4,6,18
10,18,18,5,23,11,7,9,19
10,18,24,4,21,10,5,10,29
10,17,3,0,1,15,7,10,15
10,18,23,2,19,10,6,10,27
8,13,1,0,2,10,4,7,22
9,14,9,1,14,8,5,9,21
8,18,1,-1,1,7,7,9,7
5,11,0,-1,0,11,3,6,11
11,16,20,2,18,18,8,12,19
11,15,8,1,13,20,5,9,28
11,19,20,3,22,8,7,10,18
7,13,4,1,12,12,4,6,18
9,15,10,1,12,7,5,8,20
10,19,20,2,21,8,7,10,18
7,9,6,0,8,15,6,8,14
10,17,15,1,18,8,6,9,20
6,11,1,0,7,12,3,5,18
8,15,9,1,16,5,5,8,16
8,11,1,0,1,10,4,6,22
9,12,15,1,15,17,7,10,17
9,12,13,1,11,15,7,10,16
5,10,0,-1,0,9,4,6,9
9,11,1,0,4,18,4,8,25
8,18,17,1,19,10,5,6,18
7,12,4,0,11,5,4,6,15
10,19,26,11,25,11,6,11,28
10,21,24,10,28,15,7,9,24
8,12,11,1,11,14,7,9,14
7,13,2,0,7,5,5,7,11
8,14,6,0,12,4,5,7,15
8,11,1,0,1,10,4,6,22
11,20,6,0,6,14,8,11,14
6,12,0,-1,0,12,4,7,14
7,12,2,1,9,12,4,6,17
8,15,6,0,9,5,5,7,15
10,17,3,0,1,16,7,10,16
10,16,5,1,11,13,5,8,25
9,15,8,1,17,13,4,7,22
8,14,9,1,14,9,4,8,20
8,17,16,1,20,10,5,6,19
11,19,18,5,23,11,7,9,18
7,12,1,0,3,14,3,6,21
5,11,0,-1,0,3,6,7,-1
11,19,20,3,22,9,7,10,18
8,17,12,1,16,12,5,6,17
9,15,9,1,15,8,6,8,17
9,19,19,3,23,13,5,9,25
8,12,13,1,10,13,6,8,13
8,13,7,1,13,9,4,7,19
9,13,3,1,6,15,4,6,25
8,15,9,1,15,5,5,8,16
9,20,24,9,27,14,6,9,23
10,19,24,2,18,10,6,10,27
8,17,3,0,3,13,6,9,15
10,19,20,4,23,9,7,9,19
5,7,0,0,0,7,2,4,16
9,15,2,0,3,10,5,7,23
10,19,16,1,20,12,5,8,18
10,19,19,4,22,9,6,10,19
10,15,9,1,13,10,6,10,22
8,13,9,1,14,9,4,8,20
6,17,1,-1,1,6,7,8,1
8,15,7,1,15,11,4,6,17
9,15,2,0,3,11,5,7,24
7,15,1,-1,0,12,6,8,13
11,17,9,1,14,16,5,8,27
8,13,6,0,9,9,4,8,20
8,17,16,1,21,11,5,7,20
8,15,8,1,17,12,4,7,22
10,19,27,8,22,10,6,10,28
10,17,16,1,18,8,6,9,21
11,19,20,3,22,9,7,10,18
8,18,17,1,21,10,5,7,20
8,11,9,0,10,16,7,9,15
7,8,5,0,7,15,6,8,13
8,13,8,1,13,9,4,7,18
7,10,8,1,10,15,6,9,14
9,21,26,11,29,14,6,9,23
8,12,11,1,10,15,7,9,14
11,15,19,2,17,18,8,12,19
6,11,1,0,5,11,3,5,18
7,11,2,0,8,5,4,7,16
10,17,15,2,21,10,7,9,18
10,16,8,1,11,15,5,7,26
8,13,8,1,14,9,4,7,18
4,8,0,-1,-1,3,5,6,1
11,18,16,3,22,10,6,10,19
7,16,12,1,18,11,5,6,19
9,17,23,2,18,11,5,10,27
10,16,1,-1,0,14,7,10,13
11,19,18,3,22,10,7,10,19
10,16,13,1,19,9,6,8,19
10,17,13,1,18,9,6,8,19
12,18,13,1,19,21,6,10,30
10,16,5,1,11,13,5,8,25
8,12,5,1,11,9,5,7,18
7,17,15,1,19,11,5,6,20
10,15,19,2,17,18,8,11,18
9,15,2,0,3,11,5,8,24
9,13,4,1,8,19,4,8,27
10,17,15,1,18,8,6,9,20
10,18,15,1,19,9,6,9,19
10,19,20,4,23,9,6,10,19
3,8,0,-1,0,8,1,3,6
12,17,10,1,13,21,6,10,30
8,12,13,1,10,13,6,9,13
12,21,10,0,10,16,9,12,16
11,19,19,4,22,9,7,10,19
8,11,1,0,1,11,4,6,21
12,17,10,1,13,21,6,10,30
7,11,1,0,7,4,5,6,11
8,13,14,1,11,13,6,9,13
9,15,9,1,11,6,5,8,20
9,15,11,1,14,7,5,8,19
9,15,2,0,3,11,5,8,24
9,14,1,0,2,11,5,7,23
9,18,12,1,18,11,5,7,18
10,16,12,1,15,11,6,10,23
9,17,23,6,23,11,5,10,27
8,12,3,0,7,7,4,8,19
9,16,17,1,18,10,5,9,27
10,20,23,8,27,15,6,9,24
7,9,6,0,7,15,6,8,14
10,14,6,1,10,20,4,8,28
9,18,17,2,22,12,5,8,24
10,19,16,2,20,16,5,9,25
5,11,0,-1,0,9,4,7,11
10,14,6,1,10,20,4,8,28
8,11,10,1,9,15,7,9,14
10,16,6,1,10,15,5,7,26
9,18,25,8,23,10,5,10,27
7,10,0,-1,0,12,5,8,9
7,9,5,0,8,15,6,8,14
8,14,1,-1,0,14,6,9,14
10,21,24,10,28,15,6,9,24
8,17,3,0,2,13,6,8,14
10,18,15,1,20,16,5,8,24
5,15,0,-1,1,7,6,7,0
4,10,0,-1,0,10,3,5,8
8,14,8,1,10,6,5,8,19
8,12,12,1,10,14,7,8,12
8,11,1,1,3,18,4,7,26
9,14,8,1,11,10,5,9,21
9,18,24,2,18,10,5,10,27
7,8,4,0,7,15,6,8,14
8,19,19,2,22,10,5,7,20
11,20,6,0,7,14,8,11,14
9,14,18,2,17,17,7,11,18
8,13,15,1,12,14,6,9,14
7,15,10,1,16,11,5,6,18
8,12,11,1,10,15,7,9,14
7,14,0,-1,0,10,6,8,13
10,15,8,1,14,21,5,9,29
8,12,12,1,11,16,7,10,17
8,12,11,1,10,14,7,9,14
9,16,18,1,18,10,5,9,27
11,20,6,0,7,14,8,11,14
6,10,0,0,3,10,3,5,16
9,13,14,1,12,17,7,11,17
7,17,1,-1,1,9,7,9,9
8,17,11,1,16,12,5,6,18
10,17,15,3,22,11,6,9,19
8,14,9,1,11,4,5,7,15
11,20,20,4,22,9,7,10,19
9,13,5,1,9,20,4,8,29
9,14,8,1,10,9,5,9,21
8,19,19,2,22,10,5,7,20
10,18,23,3,20,10,5,10,29
8,19,22,4,24,11,5,7,20
8,17,13,1,17,12,5,6,18
9,17,22,1,17,10,5,10,28
8,14,6,1,12,6,5,8,17
8,13,6,1,14,5,5,8,17
11,18,5,0,3,16,7,11,17
10,18,17,2,21,17,5,9,27
7,13,4,0,9,4,5,7,14
9,14,8,1,13,9,5,8,18
10,21,24,10,28,15,7,9,24
9,16,14,1,17,10,5,9,23
10,17,15,2,20,9,6,9,19
6,10,0,0,3,10,3,5,17
8,13,1,0,2,10,4,7,21
8,19,1,-1,1,6,8,10,4
9,14,7,1,14,7,5,8,18
7,17,18,1,19,10,4,5,18
5,14,1,-1,1,9,6,6,4
8,13,8,1,13,9,4,7,18
7,8,4,0,7,15,6,8,14
10,17,15,3,22,11,6,9,19
7,12,1,0,4,14,3,6,22
11,18,16,3,22,10,6,10,20
7,17,18,1,19,10,4,5,18
10,14,18,2,17,18,8,11,18
6,11,0,-1,0,8,4,7,10
9,17,23,3,20,10,5,10,27
8,10,1,0,3,17,3,7,25
7,17,17,1,20,11,5,6,19
10,16,13,1,18,9,6,9,20
8,17,17,1,20,10,5,6,19
8,15,8,1,15,14,4,6,19
7,17,0,-1,0,7,7,9,6
7,16,2,0,3,10,6,8,12
10,17,13,1,19,11,6,10,20
7,14,2,0,8,10,4,6,18
10,16,7,1,11,15,5,7,26
10,16,3,0,1,16,6,10,15
8,11,9,1,9,16,7,10,17
